,class,y-box,high,onpix,xy2br
0,0,5,4,4,8
1,0,9,7,6,9
2,0,3,1,2,8
3,0,5,4,3,8
4,0,12,6,4,5
5,0,8,6,5,6
6,0,9,6,2,8
7,0,10,8,8,9
8,0,1,1,1,8
9,0,9,7,4,8
10,0,7,5,4,8
11,0,9,6,8,7
12,0,5,4,4,7
13,0,10,8,6,6
14,0,5,7,4,8
15,0,8,5,2,8
16,0,3,4,2,8
17,0,7,5,4,7
18,0,11,8,6,8
19,0,7,4,2,8
20,0,4,3,3,8
21,0,10,8,7,8
22,0,8,6,4,8
23,0,10,8,7,9
24,0,7,5,6,8
25,0,4,6,2,8
26,0,9,6,7,9
27,0,7,5,5,8
28,0,9,6,7,9
29,0,9,6,7,7
30,0,8,5,2,8
31,0,7,5,5,6
32,0,3,2,2,8
33,0,8,6,6,8
34,0,9,7,7,8
35,0,10,8,8,8
36,0,1,1,1,8
37,0,7,10,7,6
38,0,4,5,2,8
39,0,3,4,2,8
40,0,11,8,3,8
41,0,4,3,3,8
42,0,9,7,7,7
43,0,8,5,2,8
44,0,5,3,3,9
45,0,11,6,3,7
46,0,4,3,3,8
47,0,5,7,4,7
48,0,7,5,4,8
49,0,15,8,7,7
50,0,4,6,4,7
51,0,7,4,2,8
52,0,13,7,4,5
53,0,8,6,8,8
54,0,10,6,4,9
55,0,4,5,2,8
56,0,9,7,5,9
57,0,9,6,2,8
58,0,7,4,2,8
59,0,2,3,4,8
60,0,10,8,8,9
61,0,6,4,5,9
62,0,5,3,3,8
63,0,0,0,0,8
64,0,12,6,5,6
65,0,3,2,2,8
66,0,9,4,3,7
67,0,8,6,6,9
68,0,10,8,5,8
69,0,3,1,2,7
70,0,4,6,5,8
71,0,3,4,2,8
72,0,11,8,3,8
73,0,6,4,2,8
74,0,5,4,4,8
75,0,10,8,6,8
76,0,9,7,7,7
77,0,9,7,6,10
78,0,9,4,3,8
79,0,2,4,3,8
80,0,9,6,2,8
81,0,7,4,2,8
82,0,9,6,4,9
83,0,7,4,2,8
84,0,8,6,5,8
85,0,15,8,5,9
86,0,10,8,10,7
87,0,0,0,0,8
88,0,3,2,2,8
89,0,1,1,2,8
90,0,1,3,2,8
91,0,3,2,2,8
92,0,11,8,8,8
93,0,5,4,4,8
94,0,3,2,3,8
95,0,10,7,3,8
96,0,4,5,2,8
97,0,3,2,2,7
98,0,11,9,10,9
99,0,6,4,2,8
100,0,5,3,3,8
101,0,5,4,4,8
102,0,11,8,7,9
103,0,0,0,0,8
104,0,3,4,4,10
105,0,13,7,5,5
106,0,5,4,3,8
107,0,5,3,3,6
108,0,8,6,7,7
109,0,10,8,7,7
110,0,7,9,5,8
111,0,3,2,2,8
112,0,11,8,7,7
113,0,11,9,7,8
114,0,3,4,2,8
115,0,11,8,3,8
116,0,7,5,3,7
117,0,6,4,2,8
118,0,7,5,5,8
119,0,7,5,3,7
120,0,5,7,3,8
121,0,12,6,4,5
122,0,5,3,3,9
123,0,9,5,4,7
124,0,7,5,3,8
125,0,10,8,5,8
126,0,8,6,5,9
127,0,1,2,2,9
128,0,11,8,10,7
129,0,3,1,2,9
130,0,13,7,5,7
131,0,1,2,2,8
132,0,3,2,3,8
133,0,10,5,5,7
134,0,4,2,3,7
135,0,7,5,4,8
136,0,10,7,8,9
137,0,3,4,2,8
138,0,3,4,2,8
139,0,4,6,4,7
140,0,11,8,3,8
141,0,8,6,7,8
142,0,3,2,2,8
143,0,6,4,5,8
144,0,2,3,3,8
145,0,3,1,2,7
146,0,10,7,3,8
147,0,10,8,8,6
148,0,7,5,5,8
149,0,8,6,5,8
150,0,1,2,2,8
151,0,0,0,0,8
152,0,9,7,7,9
153,0,7,9,8,6
154,0,8,5,2,8
