,class,x-box,y-box,width,onpix
0,1,12,14,12,5
1,1,5,9,6,8
2,1,3,4,4,2
3,1,4,8,5,3
4,1,2,1,3,1
5,1,6,5,7,4
6,1,3,3,4,2
7,1,4,9,7,5
8,1,6,10,6,6
9,1,7,8,7,6
10,1,4,4,5,3
11,1,5,10,8,5
12,1,4,8,6,3
13,1,4,6,7,4
14,1,2,3,4,2
15,1,7,9,10,11
16,1,4,4,5,3
17,1,5,9,7,7
18,1,5,9,8,7
19,1,4,3,5,3
20,1,8,11,8,5
21,1,3,6,5,7
22,1,6,10,8,4
23,1,5,11,8,6
24,1,6,9,6,7
25,1,6,10,9,7
26,1,5,7,7,3
27,1,7,10,7,8
28,1,4,7,5,5
29,1,4,11,7,8
30,1,7,10,10,14
31,1,2,0,2,1
32,1,4,8,7,5
33,1,5,6,5,4
34,1,6,5,7,3
35,1,3,2,4,3
36,1,7,10,7,7
37,1,2,4,4,2
38,1,4,10,6,4
39,1,4,9,6,3
40,1,4,4,6,3
41,1,3,4,5,3
42,1,4,6,6,5
43,1,8,13,8,5
44,1,3,5,5,4
45,1,6,10,6,7
46,1,5,8,8,3
47,1,6,11,9,7
48,1,3,7,6,4
49,1,8,10,8,4
50,1,5,6,7,8
51,1,12,14,12,5
52,1,6,9,9,7
53,1,5,10,8,13
54,1,4,7,6,3
55,1,3,7,5,7
56,1,3,8,5,5
57,1,4,9,5,6
58,1,6,10,6,6
59,1,5,6,5,4
60,1,5,9,7,3
61,1,4,2,6,4
62,1,3,7,5,3
63,1,6,9,8,7
64,1,1,0,1,0
65,1,8,10,9,6
66,1,4,8,6,3
67,1,4,8,7,9
68,1,10,15,10,5
69,1,4,8,6,6
70,1,4,4,6,3
71,1,5,5,7,4
72,1,4,8,7,4
73,1,4,7,6,3
74,1,5,8,7,3
75,1,7,7,7,6
76,1,3,5,5,3
77,1,8,14,8,6
78,1,11,14,12,7
79,1,2,1,3,2
80,1,3,2,5,3
81,1,4,7,6,4
82,1,3,7,5,3
83,1,4,7,7,5
84,1,2,1,4,2
85,1,8,9,8,6
86,1,3,7,5,4
87,1,4,8,6,3
88,1,4,7,6,8
89,1,6,9,8,4
90,1,6,10,6,7
91,1,6,8,9,11
92,1,4,7,6,4
93,1,9,12,9,5
94,1,8,11,7,4
95,1,4,5,4,3
96,1,5,8,8,11
97,1,6,9,9,11
98,1,3,3,4,2
99,1,2,3,3,2
100,1,6,9,6,3
101,1,6,9,8,8
102,1,7,9,7,3
103,1,5,11,8,12
104,1,4,4,5,3
105,1,4,2,5,3
106,1,5,4,6,3
107,1,3,1,3,1
108,1,4,8,5,3
109,1,4,6,6,5
110,1,9,10,9,3
111,1,3,1,5,2
112,1,4,10,6,8
113,1,3,7,5,5
114,1,4,9,6,3
115,1,5,11,8,4
116,1,4,2,6,4
117,1,8,10,11,14
118,1,4,4,6,3
119,1,5,11,7,4
120,1,6,10,8,4
121,1,7,10,7,7
122,1,6,8,8,10
123,1,4,4,5,3
124,1,6,7,6,6
125,1,4,6,6,3
126,1,3,3,4,2
127,1,4,8,6,5
128,1,7,10,9,6
129,1,9,10,8,6
130,1,6,6,6,4
131,1,5,9,7,7
132,1,3,4,4,3
133,1,4,4,5,3
134,1,4,4,5,3
135,1,2,0,2,1
136,1,7,7,9,10
137,1,10,11,10,8
138,1,11,12,10,4
139,1,12,15,11,5
140,1,3,1,4,1
141,1,6,10,7,4
142,1,3,6,5,3
143,1,1,0,2,1
144,1,6,9,8,7
145,1,6,10,9,8
146,1,6,6,6,4
147,1,9,11,9,5
148,1,4,4,5,2
149,1,9,13,9,5
150,1,5,7,5,5
151,1,4,5,6,4
152,1,3,1,5,3
153,1,4,2,6,4
154,1,6,10,6,6
155,1,4,5,5,3
156,1,5,9,8,6
157,1,5,10,7,4
158,1,2,0,3,1
159,1,4,5,5,3
160,1,3,4,4,2
161,1,3,3,5,2
162,1,6,9,6,6
163,1,9,11,9,7
164,1,5,11,7,9
165,1,7,8,7,6
166,1,3,6,4,3
167,1,5,7,7,4
168,1,4,9,6,3
169,1,4,3,4,2
170,1,7,11,9,10
171,1,6,6,6,4
172,1,6,11,10,6
173,1,6,5,8,4
174,1,6,7,6,4
175,1,7,7,10,10
176,1,5,11,8,4
177,1,2,1,2,1
178,1,6,9,8,12
179,1,6,6,6,4
180,1,5,9,7,8
181,1,7,9,7,3
182,1,8,10,8,6
183,1,3,3,5,3
184,1,4,7,5,3
185,1,3,2,5,3
186,1,8,12,8,5
187,1,3,6,5,2
188,1,4,6,6,3
189,1,7,9,7,3
190,1,2,1,3,1
191,1,5,10,8,11
192,1,8,9,8,8
193,1,5,6,7,8
194,1,3,3,3,2
195,1,3,7,6,4
196,1,11,13,11,5
197,1,10,10,9,9
198,1,1,0,2,0
199,1,5,10,8,7
200,1,2,0,2,1
201,1,5,8,5,4
202,1,5,8,7,3
203,1,3,1,3,1
204,1,5,10,7,4
205,1,6,11,9,4
206,1,6,8,6,5
207,1,1,0,2,0
208,1,5,5,8,4
209,1,5,11,8,13
210,1,7,10,7,5
211,1,5,9,7,11
212,1,4,7,6,3
213,1,2,1,4,2
214,1,4,8,6,7
215,1,6,6,6,4
216,1,4,8,6,5
217,1,5,10,8,7
218,1,4,5,7,4
219,1,7,6,9,10
220,1,6,9,6,5
221,1,5,9,7,4
222,1,5,9,8,5
223,1,3,8,5,3
224,1,10,12,9,4
225,1,3,4,5,3
226,1,5,9,7,4
227,1,6,11,8,9
228,1,4,8,6,7
229,1,5,8,8,11
230,1,8,8,11,12
231,1,6,9,8,4
232,1,6,7,6,5
233,1,3,7,5,3
234,1,5,5,6,4
235,1,4,5,6,3
236,1,3,3,4,2
237,1,4,4,5,3
238,1,4,11,7,11
239,1,6,11,10,7
240,1,3,7,5,4
241,1,3,9,5,5
242,1,6,10,8,9
243,1,5,8,7,4
244,1,7,11,7,6
245,1,3,6,5,6
246,1,9,10,8,8
247,1,3,2,5,3
248,1,5,10,8,6
249,1,11,15,11,5
250,1,4,6,6,3
251,1,9,10,9,6
252,1,5,5,7,4
253,1,5,6,7,4
254,1,1,0,2,1
255,1,6,5,9,4
256,1,3,1,5,2
257,1,6,10,8,9
