,class,x-box,y-box,width,onpix
0,0,11,15,13,7
1,0,6,9,8,9
2,0,7,11,11,9
3,0,6,9,9,6
4,0,4,5,7,4
5,0,6,10,9,8
6,0,6,7,9,7
7,0,6,8,9,6
8,0,5,9,7,7
9,0,4,9,5,4
10,0,3,7,5,6
11,0,7,10,10,7
12,0,8,10,11,9
13,0,6,5,8,7
14,0,6,10,9,8
15,0,4,8,6,8
16,0,6,9,7,3
17,0,7,9,10,6
18,0,6,9,9,6
19,0,7,6,9,9
20,0,8,10,11,8
21,0,5,8,7,6
22,0,5,6,6,4
23,0,3,8,4,3
24,0,3,7,4,4
25,0,4,2,5,4
26,0,5,8,7,7
27,0,9,11,12,8
28,0,8,9,11,8
29,0,13,15,13,7
30,0,6,10,7,4
31,0,3,1,4,3
32,0,4,11,6,6
33,0,4,7,6,6
34,0,6,9,9,6
35,0,6,10,8,7
36,0,6,10,9,8
37,0,5,11,6,4
38,0,3,6,5,5
39,0,6,10,7,4
40,0,7,10,9,8
41,0,5,10,5,4
42,0,2,0,2,1
43,0,3,7,4,3
44,0,5,7,7,6
45,0,5,5,6,4
46,0,5,9,8,7
47,0,4,8,7,9
48,0,5,9,8,10
49,0,6,10,7,4
50,0,4,7,6,5
51,0,3,1,4,1
52,0,7,8,9,10
53,0,4,1,5,3
54,0,3,3,5,3
55,0,2,3,4,2
56,0,5,8,7,8
57,0,5,9,8,6
58,0,6,9,8,8
59,0,4,3,4,3
60,0,6,8,9,9
61,0,1,0,2,1
62,0,6,8,9,10
63,0,6,7,9,9
64,0,4,3,4,3
65,0,7,10,9,8
66,0,5,5,6,4
67,0,6,11,7,7
68,0,8,9,11,9
69,0,4,7,4,3
70,0,6,10,8,10
71,0,2,3,4,2
72,0,4,6,6,4
73,0,5,9,6,4
74,0,3,2,4,3
75,0,3,4,5,3
76,0,3,6,4,4
77,0,3,4,4,3
78,0,5,5,6,4
79,0,2,3,4,2
80,0,10,15,12,6
81,0,4,2,6,4
82,0,7,10,10,9
83,0,2,3,3,2
84,0,5,5,6,4
85,0,4,7,8,8
86,0,5,2,6,4
87,0,5,10,6,4
88,0,4,2,5,4
89,0,4,2,5,4
90,0,4,3,5,3
91,0,8,10,11,7
92,0,10,13,12,6
93,0,7,6,9,9
94,0,8,9,12,12
95,0,1,0,2,1
96,0,5,7,6,7
97,0,3,2,5,3
98,0,6,9,10,11
99,0,6,11,8,8
100,0,4,3,5,3
101,0,5,6,7,6
102,0,3,6,4,4
103,0,11,15,11,6
104,0,3,4,5,3
105,0,2,3,4,2
106,0,4,8,5,5
107,0,6,9,9,10
108,0,4,5,7,4
109,0,5,10,6,4
110,0,5,11,8,8
111,0,5,10,5,4
112,0,6,11,9,10
113,0,6,8,9,10
114,0,1,0,2,0
115,0,4,9,6,6
116,0,4,10,5,4
117,0,5,10,6,3
118,0,6,5,6,4
119,0,2,1,3,2
120,0,6,11,9,9
121,0,4,2,5,4
122,0,6,8,10,7
123,0,4,3,5,4
124,0,4,9,5,5
125,0,2,0,2,1
126,0,4,7,7,7
127,0,5,6,8,4
128,0,5,6,7,7
129,0,5,8,7,5
130,0,5,9,6,3
131,0,4,4,5,3
132,0,4,4,7,4
133,0,2,1,3,2
134,0,3,6,4,4
135,0,4,10,5,4
136,0,3,5,6,4
137,0,3,7,3,3
138,0,7,9,10,6
139,0,5,7,7,6
140,0,5,9,6,4
141,0,6,8,9,7
142,0,4,4,6,3
143,0,4,3,5,3
144,0,4,3,5,3
145,0,4,8,6,7
146,0,5,11,6,4
147,0,3,1,4,1
148,0,5,8,7,6
149,0,11,13,11,6
150,0,4,7,7,8
151,0,3,7,4,3
152,0,4,4,6,4
153,0,4,10,5,6
154,0,3,4,4,3
155,0,5,9,6,3
156,0,11,11,11,5
157,0,3,8,4,3
158,0,4,5,6,4
159,0,4,2,5,4
160,0,3,7,4,3
161,0,1,0,2,1
162,0,5,5,7,4
163,0,4,11,5,4
164,0,7,11,9,11
165,0,2,1,3,1
166,0,3,5,4,4
167,0,2,0,2,1
168,0,5,6,8,5
169,0,5,10,8,10
170,0,4,7,7,9
171,0,5,10,6,4
172,0,1,0,2,1
173,0,3,4,4,3
174,0,5,5,8,4
175,0,3,7,5,5
176,0,6,10,8,7
177,0,2,0,3,1
178,0,4,7,4,3
179,0,6,10,7,7
180,0,2,0,2,1
181,0,3,1,3,1
182,0,5,2,7,5
183,0,2,1,2,1
184,0,2,4,3,3
185,0,4,7,5,6
186,0,3,3,3,2
187,0,5,8,8,5
188,0,3,7,4,3
189,0,2,0,2,1
190,0,7,11,8,4
191,0,6,10,7,4
192,0,3,3,4,2
193,0,4,7,6,5
194,0,4,3,4,2
195,0,4,4,7,4
196,0,8,12,10,5
197,0,7,9,10,7
198,0,7,11,10,13
199,0,2,3,4,2
200,0,5,7,7,8
201,0,7,10,10,6
202,0,3,3,5,3
203,0,6,11,9,10
204,0,3,8,4,3
205,0,4,10,5,6
206,0,7,9,9,7
207,0,5,7,8,7
208,0,5,11,7,9
209,0,4,2,5,4
210,0,5,9,5,6
211,0,6,9,8,8
212,0,6,10,9,7
213,0,5,5,7,5
214,0,6,10,6,4
215,0,3,1,4,3
216,0,3,4,6,3
217,0,7,8,10,7
218,0,3,4,5,3
219,0,4,5,5,4
220,0,6,7,9,6
221,0,7,11,11,8
222,0,5,6,8,5
223,0,4,10,5,6
224,0,5,8,8,7
225,0,7,10,9,9
226,0,4,5,6,6
227,0,5,11,6,4
228,0,3,3,5,3
229,0,5,9,8,6
230,0,5,8,6,3
231,0,8,10,11,9
232,0,8,9,11,9
233,0,4,1,5,3
234,0,4,7,5,5
235,0,3,4,5,3
236,0,6,9,8,8
237,0,6,7,9,5
238,0,5,11,7,8
239,0,8,10,11,9
